"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1181","CURRY ","NM",5,3,"32040",6457,820,0.126993960043364
"1182","DE BACA ","NM",1,1,"32050",526,13,0.0247148288973384
"1183","DONA ANA ","NM",4,1,"32060",25181,504,0.0200150907430205
"1184","EDDY ","NM",2,0,"32070",8830,30,0.00339750849377123
"1185","GUADALUPE ","NM",4,2,"32090",868,1792,2.06451612903226
"1186","HARDING ","NM",0,0,"32100",216,0,0
"1187","HIDALGO ","NM",7,1,"32110",881,596,0.676503972758229
"1188","LEA ","NM",1,0,"32120",8179,11,0.0013449076904267
"1189","LOS ALAMOS ","NM",0,0,"32131",2414,0,0
"1190","LUNA ","NM",2,1,"32140",5555,65,0.0117011701170117
"1191","MCKINLEY ","NM",2,0,"32150",7319,30,0.00409892061757071
"1192","MORA ","NM",0,0,"32160",1041,0,0
"1193","QUAY ","NM",0,0,"32180",2172,0,0
"1194","RIO ARRIBA ","NM",3,2,"32190",6297,209,0.033190408130856
"1195","SANDOVAL ","NM",4,2,"32210",13558,5226,0.385455081870482
"1196","SANTA FE ","NM",4,3,"32240",19483,3051,0.156598059847046
"1197","SOCORRO ","NM",3,3,"32260",2463,85,0.0345107592367032
"1198","TAOS ","NM",1,0,"32270",5311,21,0.00395405761626812
"1199","TORRANCE ","NM",2,2,"32280",2179,654,0.300137677833869
"1200","VALENCIA ","NM",4,3,"32300",10226,3896,0.380989634265598
"1201","CARSON CITY ","NV",3,0,"29120",11239,63,0.00560548091467212
"1202","CHURCHILL ","NV",0,0,"29000",3834,0,0
"1203","ELKO ","NV",1,1,"29030",4108,43,0.0104673807205453
"1204","ESMERALDA ","NV",1,1,"29040",189,33,0.174603174603175
"1205","EUREKA ","NV",0,0,"29050",254,0,0
"1206","LANDER ","NV",0,0,"29070",584,0,0
"1207","NYE ","NV",5,3,"29110",9993,4438,0.44411087761433
"1208","PERSHING ","NV",0,0,"29130",635,0,0
"1209","STOREY ","NV",2,2,"29140",187,43,0.229946524064171
"1210","WASHOE ","NV",9,2,"29150",51582,9589,0.185898181536195
"1211","WHITE PINE ","NV",0,0,"29160",1620,0,0
"1212","ALBANY ","NY",7,4,"33000",46281,7296,0.157645686134699
"1213","BRONX ","NY",21,7,"33020",157417,44055,0.279861768423995
"1214","BROOME ","NY",2,2,"33030",39886,1100,0.0275785990071704
"1215","CATTARAUGUS ","NY",5,2,"33040",15320,2365,0.154373368146214
"1216","CAYUGA ","NY",5,2,"33050",13476,261,0.0193677649154052
"1217","CHEMUNG ","NY",2,1,"33070",17368,340,0.0195762321510825
"1218","CHENANGO ","NY",2,2,"33080",9842,231,0.0234708392603129
"1219","CORTLAND ","NY",1,1,"33210",7536,104,0.0138004246284501
"1220","DUTCHESS ","NY",5,1,"33230",44881,825,0.0183819433613333
"1221","ERIE ","NY",22,5,"33240",171028,72232,0.422340201604416
"1222","HERKIMER ","NY",3,2,"33320",11970,446,0.0372598162071846
"1223","NEW YORK ","NY",24,7,"33420",231357,43225,0.186832471029621
"1224","NIAGARA ","NY",5,4,"33500",41564,12938,0.311278991434896
"1225","ONONDAGA ","NY",5,2,"33520",76147,2382,0.031281600063036
"1226","ONTARIO ","NY",3,3,"33530",17575,6652,0.378492176386913
"1227","OSWEGO ","NY",2,2,"33560",19582,396,0.0202226534572567
"1228","QUEENS ","NY",24,8,"33590",291073,83741,0.287697587890323
"1229","RENSSELAER ","NY",5,4,"33600",24970,4404,0.17637164597517
"1230","ROCKLAND ","NY",11,4,"33620",43874,5099,0.116219173086566
"1231","SAINT LAWRENCE ","NY",2,0,"33630",19918,135,0.00677778893463199
"1232","SARATOGA ","NY",4,3,"33640",30753,5871,0.190908204077651
"1233","SCHENECTADY ","NY",7,3,"33650",30092,4273,0.141997873188887
"1234","SCHOHARIE ","NY",1,0,"33660",5683,24,0.00422312159070913
"1235","SENECA ","NY",3,3,"33680",5828,1405,0.241077556623198
"1236","TIOGA ","NY",3,2,"33720",8379,221,0.026375462465688
"1237","TOMPKINS ","NY",1,1,"33730",11741,71,0.00604718507793203
"1238","ULSTER ","NY",3,1,"33740",29636,661,0.0223039546497503
"1239","WESTCHESTER ","NY",16,3,"33800",144255,19679,0.136418148417732
"1240","WYOMING ","NY",11,7,"33900",6670,3964,0.594302848575712
"1241","YATES ","NY",3,3,"33910",4852,1327,0.273495465787304
"1242","ASHLAND ","OH",4,4,"36020",8408,244,0.0290199809705043
"1243","ASHTABULA ","OH",4,0,"36030",18473,88,0.00476370919720673
"1244","ATHENS ","OH",1,1,"36040",8319,65,0.00781343911527828
"1245","AUGLAIZE ","OH",0,0,"36050",8819,0,0
"1246","BELMONT ","OH",4,4,"36060",14178,4745,0.334673437720412
"1247","CLERMONT ","OH",7,5,"36120",20088,4039,0.201065312624452
"1248","COLUMBIANA ","OH",6,1,"36140",20773,1976,0.0951234775911038
"1249","COSHOCTON ","OH",2,0,"36150",6320,34,0.00537974683544304
"1250","CUYAHOGA ","OH",11,4,"36170",231017,45235,0.195808100702546
"1251","DARKE ","OH",2,1,"36190",9116,189,0.0207327775340061
"1252","DEFIANCE ","OH",1,0,"36200",6588,14,0.0021250758955677
"1253","GALLIA ","OH",1,1,"36270",6098,34,0.0055755985569039
"1254","GEAUGA ","OH",4,2,"36280",11761,1161,0.0987160955701046
"1255","GUERNSEY ","OH",3,1,"36300",7817,84,0.010745810413202
"1256","HIGHLAND ","OH",1,0,"36370",7030,11,0.0015647226173542
"1257","HOCKING ","OH",1,0,"36380",4537,13,0.00286532951289398
"1258","LICKING ","OH",4,1,"36460",22035,2011,0.0912638983435444
"1259","LORAIN ","OH",5,2,"36480",44281,4488,0.101352724644882
"1260","MAHONING ","OH",5,2,"36510",50313,11590,0.230357959175561
"1261","MEDINA ","OH",10,7,"36530",21389,3668,0.171490018233672
"1262","MEIGS ","OH",2,2,"36540",4105,99,0.0241169305724726
"1263","MORROW ","OH",2,2,"36600",4021,77,0.0191494653071375
"1264","MUSKINGUM ","OH",3,1,"36610",16184,146,0.00902125556104795
"1265","PICKAWAY ","OH",2,1,"36660",7471,804,0.107616115647169
"1266","PORTAGE ","OH",10,7,"36680",20795,4647,0.223467179610483
"1267","PREBLE ","OH",3,2,"36690",6840,425,0.0621345029239766
"1268","ROSS ","OH",1,1,"36720",12439,435,0.0349706568052094
"1269","SANDUSKY ","OH",1,1,"36730",9249,67,0.0072440263812304
"1270","SCIOTO ","OH",1,0,"36740",15569,12,0.000770762412486351
"1271","TRUMBULL ","OH",4,2,"36790",40503,7834,0.193417771523097
"1272","TUSCARAWAS ","OH",4,2,"36800",16427,2293,0.139587264868814
"1273","VAN WERT ","OH",0,0,"36820",4580,0,0
"1274","VINTON ","OH",0,0,"36830",2005,0,0
"1275","WOOD ","OH",8,4,"36880",16186,4476,0.276535277400222
"1276","WYANDOT ","OH",1,1,"36890",4083,43,0.0105314719568944
"1277","ALFALFA ","OK",0,0,"37010",1304,0,0
"1278","ATOKA ","OK",1,1,"37020",2315,16,0.00691144708423326
"1279","BEAVER ","OK",7,5,"37030",947,19642,20.7412882787751
"1280","BECKHAM ","OK",0,0,"37040",3184,0,0
"1281","CANADIAN ","OK",3,1,"37080",10831,1347,0.124365247899548
"1282","CIMARRON ","OK",0,0,"37120",599,0,0
"1283","COAL ","OK",0,0,"37140",1226,0,0
"1284","CRAIG ","OK",1,1,"37170",3506,56,0.0159726183685111
"1285","CREEK ","OK",4,3,"37180",10766,2929,0.272060189485417
"1286","DEWEY ","OK",0,0,"37210",1069,0,0
"1287","GARVIN ","OK",1,0,"37240",6193,20,0.00322945260778298
"1288","GREER ","OK",0,0,"37270",1359,0,0
"1289","HARMON ","OK",0,0,"37280",618,0,0
"1290","HASKELL ","OK",2,1,"37300",2722,42,0.0154298310066128
"1291","HUGHES ","OK",0,0,"37310",2962,0,0
